descripcion,id,pregunta
"
            Por lo que leí en la documentación, SYSDBA y SYSOPER son tratados como ""roles"" pero al consultar DBA_ROLES no aparecen, existe alguna vista que me permite ver que contienen?
        ",[29],Es posible ver que privilegios tienen SYSDBA y SYSOPER desde el diccionario de Datos?
"
            tengo una API-REST con Laravel funcionando correctamente en local, funcionan las migraciones y todo. Estoy usando amazon Elastic Beanstalk para alojarla en un servidor, he añadido los RDS_* en el ...
        ",[30],Por qué este Migrate en servidor Laravel con Artisan no funciona?
"
            Recientemente hice una migración de Mercurial a Git en Bitbucket, sin problemas, y continué trabajando como hacía con Sourcetree (no me siento cómoda trabajando con consola, lo siento). Y me encuentro ...
        ",[31],Ocultar las ramas mergeadas y cerradas de Git en Sourcetree
"
            Tengo una fecha menor a 1970, en este caso 06/10/1943, y la mando desde ASP.NET a Javascript por AJAX, y esta llega con el formato /Date(-828046800000)/. En JS tengo una funcion para transformar estos ...
        ",[32],Formatear fecha en Javascript menor a 1970
"
            Estoy trabajando en un proyecto desarrollado en Angular con conexión a una API Rest hecha en Node, Express y Typescript.

He desplegado la App en un servidor Apache 2.4.29 en una instancia (máquina ...
        ",[33],"net::ERR_CONNECTION_REFUSED en Apache, Angular, Node API Rest"
"
            buen día, tengo que sumar dos cajas de texto y que la tercera de el resultado final. 

la primer caja de texto graba también su valor en la del resultado, es aquí cuando resultado pasa a ser NaN, ...
        ",[34],me da resultado NaN cuando sumo dos cajas de texto en asp.net
"
            Cordial saludo, al realizar un docker-compose de laravel no puedo ingresar por bash a la carpeta src. en consola docker arroja este error 

Warning: DocumentRoot [/var/www/html/src/
        ",[35],Docker compose no crea la carpeta src para laravel
"
            Estoy haciendo un sistema de ventas , dejo aca las dos funciones , la primera es para agregar la venta que se ingresa a una tabla y la otra es para generar la venta en la base de datos , estoy muy ...
        ",[36],"python - tkinter , sistema de ventas"
"
            Necesito exportar mis conversaciones de whatsapp ha un formato en el cual pueda hacer analítica de datos

Actualmente el proceso que uso es 
*
Para enviar tu historial de chats por correo electrónico,...
        ",[37],Exportar conversaciones de whatsapp a formato plato .txt
"
            Estoy intentando obtener las snapshots creadas en los últimos 7 días para poder almacenarlas y luego realizar distintos tipos de análisis.

Estoy utilizando el siguiente script:

aws ec2 describe-...
        ",[38],Describe-snapshots menor a 7 días de creación
"
            Anteriormente tenia una web en Shopify asociada a un DNS de GODADDY.
Luego elimine la pagina de shopify y la asociacion con el DNS de GODADDY, y asocie una web en prestashop con el DNS DE GODADDY.

...
        ",[39],Cambie de pagina en mi DNS
"
            estoy intentando traer los datos de un array de post  los cuales vienen con sus respectivos comentarios, pero no logro acceder a los comentarios a traves de vuejs. con laravel simplemente hacia un ...
        ",[40],recorrer objeto bidimensional con vuejs
"
            Estoy haciendo una aplicacion en Java y para crear la interfaz grafica he empleado Scene Builder. 
Mi aplicacion almacena empleados. Los botones nuevo, editar y borrar hacen su funcion. Pero guardan ...
        ",[41],Como conectar mi aplicacion JavaFx Scene Builder con base de datos MySQL?
"
            como puedo mantener los objetos introducidos en un fichero binario de objetos?
Alguien me puede ayudar en esto , Estoy un poco desesperado , ya que llevo bastante en esto

  Scanner input=new Scanner(...
        ",[42],Como puedo añadir datos a un fichero de objetos binario sin sobreescribir los datos
"
            Cuando se clica el mapa, aparece un ""pop-up"" mostrando un código de referencia. Este código lo obtiene de source.getLayer. Este código es único para cada área de tierra, que pertenece a algún ...
        ",[43],Leaflet - ¿Cómo sacar la información de una capa de mi mapa?
"
            tengo un pequeño login, usuario y contraseña. Cuando hay un error en el login, eje: contraseña incorrecta, el login se habilita con un click en los campos. Con qué propiedad, atributo, funcionalidad, ...
        ",[44],Activar campos automaticamente ante un error en el login
"
            Estoy siguiendo los pasos de la documentación de MP pero al hacer click en el boton de Comprar, se abre el Modal de MP y dice ""Oh, no, algo anduvo mal."", y en la consola recibo el siguiente error:

[...
        ",[45],Error al integrar SDK de MercadoPago en React
"
            Estoy desarrollando una app en flutter que carga un mapa (de Gloogle) y en el agrego varios marcadores.

La posición de los marcadores los  guardo en firebase y uso cloud_firestore para hacer ...
        ",[46],Problemas con el socket de cloud_firestore
"
            Al hilo de ¿Cómo defino el tipo de letra que se ve en toda la página con Bootstrap? aprendí que hay fuentes que vienen de serie y otras que no, pero que esto depende del sistema ...
        ",[47],¿Cómo sé qué fuentes tiene un sistema y las importo o no a la hora de cargar una página?
"
            Tengo la siguiente función



$(""#price"").on({
  ""focus"": function(event) {
    $(event.target).select();
  },
  ""keyup"": function(event) {
    $(event.target).val(function(index, value) {
    ...
        ",[48],Máscara a inputs generados de manera dinámica en php
"
            el código que les copio a continuación lo tengo implementado dentro de un ViewModel.

 private void PopulateList() {
      _db = FirebaseFirestore.getInstance();
      storeRoomArrayList = new ...
        ",[49],Problema con lectura de Firestore Database
